run:
Total PAT - 2217
PAT - 33 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 34 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 35 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 36 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 37 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 38 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 39 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 40 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 41 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 42 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
PAT - 43 || table_id = 0 || section_syntax_indicator = 1 || section_lenght = 13 || transport_stream_id = 0 || version_number = 0 || current_next_indicator = 1 || section_number = 0 || last_section_number = 0 || program_number = 1 || program_map_PID = 480 || CRC_32 -39
